Row 19:  Tháng  |  Sản lượng nắng  |  Sản lượng điện  |  Sản lượng điện  |  Giá điện TB  |  Giá điện TB  |  Doanh thu Solar  |  Doanh thu BESS  |  Tổng Doanh thu  |  Gốc + Lãi Vay  |  Chi phí Bảo Trì  |  Lợi nhuận Ròng  |  Lũy kế Hoàn vốn 
Row 20:  |  |  Solar (kWh)  |  BESS (kWh)  |  Solar (VNĐ)  |  BESS (VNĐ)  |  (VNĐ)  |  (VNĐ)  |  Tiết kiệm (VNĐ)  |  (VNĐ)  |  (36 tháng miễn phí)  |  (VNĐ)  |  Vốn tự có (VNĐ) 
Row 38: 18 | 107 | =ROUND(C26*0.95,0) | =ROUND(D26*90%,0) | =E26*1.05 | =F26*1.05 | =C38*E38 | =D38*F38 | =G38+H38 | 32000000 | 0 | =I38-J38-K38 | -530383816
Row 39: 19 | 107 | =ROUND(C27*0.95,0) | =ROUND(D27*90%,0) | =E27*1.05 | =F27*1.05 | =C39*E39 | =D39*F39 | =G39+H39 | 32000000 | 0 | =I39-J39-K39 | -533917642
Row 40: 20 | 114 | =ROUND(C28*0.95,0) | =ROUND(D28*90%,0) | =E28*1.05 | =F28*1.05 | =C40*E40 | =D40*F40 | =G40+H40 | 32000000 | 0 | =I40-J40-K40 | -535740108
Row 41: 21 | 105 | =ROUND(C29*0.95,0) | =ROUND(D29*90%,0) | =E29*1.05 | =F29*1.05 | =C41*E41 | =D41*F41 | =G41+H41 | 32000000 | 0 | =I41-J41-K41 | -539762894
Row 42: 22 | 115 | =ROUND(C30*0.95,0) | =ROUND(D30*90%,0) | =E30*1.05 | =F30*1.05 | =C42*E42 | =D42*F42 | =G42+H42 | 32000000 | 0 | =I42-J42-K42 | -541340880
Row 43: 23 | 118 | =ROUND(C31*0.95,0) | =ROUND(D31*90%,0) | =E31*1.05 | =F31*1.05 | =C43*E43 | =D43*F43 | =G43+H43 | 32000000 | 0 | =I43-J43-K43 | -542185426
Row 44: 24 | 120 | =ROUND(C32*0.95,0) | =ROUND(D32*90%,0) | =E32*1.05 | =F32*1.05 | =C44*E44 | =D44*F44 | =G44+H44 | 32000000 | 0 | =I44-J44-K44 | -542541012
Row 45: 25 | 128 | =ROUND(C33*0.95,0) | =ROUND(D33*90%,0) | =E33*1.05 | =F33*1.05 | =C45*E45 | =D45*F45 | =G45+H45 | 32000000 | 0 | =I45-J45-K45 | -539707857
Row 46: 26 | 134 | =ROUND(C34*0.95,0) | =ROUND(D34*90%,0) | =E34*1.05 | =F34*1.05 | =C46*E46 | =D46*F46 | =G46+H46 | 32000000 | 0 | =I46-J46-K46 | -536601954
Row 47: 27 | 148 | =ROUND(C35*0.95,0) | =ROUND(D35*90%,0) | =E35*1.05 | =F35*1.05 | =C47*E47 | =D47*F47 | =G47+H47 | 32000000 | 0 | =I47-J47-K47 | -530006481
Row 48: 28 | 132 | =ROUND(C36*0.95,0) | =ROUND(D36*90%,0) | =E36*1.05 | =F36*1.05 | =C48*E48 | =D48*F48 | =G48+H48 | 32000000 | 0 | =I48-J48-K48 | -527397942
Row 49: 29 | 118 | =ROUND(C37*0.95,0) | =ROUND(D37*90%,0) | =E37*1.05 | =F37*1.05 | =C49*E49 | =D49*F49 | =G49+H49 | 32000000 | 0 | =I49-J49-K49 | -528274962
Row 50: 30 | 107 | =ROUND(C38*0.95,0) | =ROUND(D38*90%,0) | =E38*1.05 | =F38*1.05 | =C50*E50 | =D50*F50 | =G50+H50 | 32000000 | 0 | =I50-J50-K50 | -531891495
Row 51: 31 | 107 | =ROUND(C39*0.95,0) | =ROUND(D39*90%,0) | =E39*1.05 | =F39*1.05 | =C51*E51 | =D51*F51 | =G51+H51 | 32000000 | 0 | =I51-J51-K51 | -535508028
Row 52: 32 | 114 | =ROUND(C40*0.95,0) | =ROUND(D40*90%,0) | =E40*1.05 | =F40*1.05 | =C52*E52 | =D52*F52 | =G52+H52 | 32000000 | 0 | =I52-J52-K52 | -537383787
Row 53: 33 | 105 | =ROUND(C41*0.95,0) | =ROUND(D41*90%,0) | =E41*1.05 | =F41*1.05 | =C53*E53 | =D53*F53 | =G53+H53 | 32000000 | 0 | =I53-J53-K53 | -541501695
Row 54: 34 | 115 | =ROUND(C42*0.95,0) | =ROUND(D42*90%,0) | =E42*1.05 | =F42*1.05 | =C54*E54 | =D54*F54 | =G54+H54 | 32000000 | 0 | =I54-J54-K54 | -543128772
